class,group
acantharia_protist,acantharian protist
acantharia_protist_big_center,acantharian protist
acantharia_protist_halo,acantharian protist
amphipod_fat,amphipod
amphipod_thin,amphipod
appendicularian_fritillaridae,appendicularian
appendicularian_s_shape,appendicularian
appendicularian_slight_curve,appendicularian
appendicularian_straight,appendicularian
artifacts,artifact
artifacts_edge,artifact
chaetoganth_curve,chaetognath
chaetognath_s,chaetognath
chaetognath_straight,chaetognath
chaetognath_tail,chaetognath
chateognath_head,chaetognath
chordate_type1,chordate
copepod_calanoid_eggs,copepod calanoid
copepod_calanoid_eucalanus,copepod calanoid
copepod_calanoid_flatheads,copepod calanoid
copepod_calanoid_frillyAntennae,copepod calanoid
copepod_calanoid_octomoms,copepod calanoid
copepod_calanoid_small_longantennae,copepod calanoid
copepod_calanoid_small_oval,copepod calanoid
copepod_cyclopoid_copilia,copepod copilia
copepod_cyclopoid_oithona,copepod oithona
copepod_cyclopoid_oithona_eggs,copepod oithona
copepod_sideview,copepod
copepod_type1,copepod
copepod_type2,copepod
copepod_type3,copepod
crustacean_other,crustacean
ctenophore_cestid,ctenophore
ctenophore_cydippid_no_tentacles,ctenophore
ctenophore_cydippid_tentacles,ctenophore
ctenophore_lobate,ctenophore
dark_circle_2_rays,crustacean
detritus,detritus
diatom_chain_string,diatom
diatom_chain_tube,diatom
echinoderm_auricularia_larva_or_siphonophore,echinoderm
echinoderm_larva_pluteus,echinoderm
echinoderm_larva_pluteus_early,echinoderm
echinoderm_larva_seastar_bipinnaria,echinoderm
echinoderm_larva_seastar_brachiolaria,echinoderm
echinoderm_larva_type1_broomstick,echinoderm
echinoderm_larva_type2_broomstick_arms,echinoderm
echinopluteus,echinoderm
ephyra,jellyfish
fecal_pellet,fecal pellet
fish_larvae_medium_deep_body,fish
fish_larvae_myctophids,fish
fish_larvae_thin_body,fish
heteropod,heteropod
hydromedusae_aglaura,hydromedusae
hydromedusae_bell_and_tentacles,hydromedusae
hydromedusae_h15,hydromedusae
hydromedusae_haliscera,hydromedusae
hydromedusae_liriope,hydromedusae
hydromedusae_narco_dark,hydromedusae_narco
hydromedusae_narco_flower,hydromedusae_narco
hydromedusae_narco_young,hydromedusae_narco
hydromedusae_narcomedusae,hydromedusae_narco
hydromedusae_other,hydromedusae
hydromedusae_partial_dark,hydromedusae
hydromedusae_shapeA,hydromedusae
hydromedusae_shapeB,hydromedusae
hydromedusae_sideview_big,hydromedusae
hydromedusae_solmaris,hydromedusae_narco
hydromedusae_solmundella,hydromedusae_narco
hydromedusae_typeD,hydromedusae
hydromedusae_typeD_bell_and_tentacles,hydromedusae
hydromedusae_typeE,hydromedusae
hydromedusae_typeF,hydromedusae
hydromedusae_typeG,hydromedusae
invertebrate_larvae_other_A,invertebrate larvae
invertebrate_larvae_other_B,invertebrate larvae
jellies_tentacles,jellyfish
polychaete,polychaete
polychaete_larvae,polychaete
protist_dark_center,protist
protist_fuzzy_olive,protist
protist_noctiluca,protist
protist_other,protist
protist_star,protist
pteropod_butterfly,pteropod
pteropod_tail,pteropod
pteropod_theco_dev_seq,pteropod
pteropod_triangle,pteropod
radiolarian_chain,radiolarian
radiolarian_colony,radiolarian
shrimp_caridean,shrimp
shrimp_escape,shrimp
shrimp_euphausiids,shrimp
shrimp_lucifer,shrimp
shrimp_mysids,shrimp
shrimp_sergestidae,shrimp
siphonophore_calycophoran_abylidae,siphonophore_calycophoran
siphonophore_calycophoran_rocketship,siphonophore_calycophoran
siphonophore_calycophoran_sphaeronectes,siphonophore_calycophoran
siphonophore_calycophoran_young,siphonophore_calycophoran
siphonophore_partial,siphonophore
siphonophore_physonect,siphonophore_physonect
siphonophore_physonect_young,siphonophore_physonect
stomatopod,crustacean
tornaria_acorn_worm_larvae,tornaria
trichodesmium_bowtie,trichodesmium
trichodesmium_multiple,trichodesmium
trichodesmium_partial,trichodesmium
trichodesmium_puff,trichodesmium
trichodesmium_tuft,trichodesmium
trochophore_larvae,trochophore
tunicate_doliolid,pelagic tunicate
tunicate_partial,pelagic tunicate
tunicate_salp,pelagic tunicate
tunicate_salp_chains,pelagic tunicate
unknown_blobs_and_smudges,unknown
unknown_dark_circles,unknown
unknown_sticks,unknown
unknown_unclassified,unknown
zoea,crustacean
